atco_code,name,announcement_name,severity,flags,line2_shows,line3_shows,line2_over_px,line3_over_px,suggested_value,suggestion_kind,your_value
270002701456,Petit Way (adj),"Boston,Petit Way",ok,,Boston,Petit Way,0,0,,,
270000008798,Stells Lane (opp),"Boston,Stells Lane",ok,,Boston,Stells Lane,0,0,,,
270000009298,"Boston, opp The Minstrels","Boston,The Minstrels",ok,,Boston,The Minstrels,0,0,,,
270000009297,"The Minstrels, Sleaford Road, Boston","Boston,The Minstrels",ok,,Boston,The Minstrels,0,0,,,
2700LSB01623,Willow Farm (opp),"Boston,Willow Farm",ok,,Boston,Willow Farm,0,0,,,
2700LDMP2881,"Donington, adj Market Place","Donington,Market Place",ok,,Donington,Market Place,0,0,,,
270000008891,"Donington, opp Market Place","Donington,Market Place",ok,,Donington,Market Place,0,0,,,
270002701070,"Fleet Hargate, adj Winslow Gate","Fleet Hargate,Winslow Gate",ok,,Fleet Hargate,Winslow Gate,0,0,,,
270002701069,"Fleet Hargate, opp Winslow Gate","Fleet Hargate,Winslow Gate",ok,,Fleet Hargate,Winslow Gate,0,0,,,
270000009898,"Fosdyke, adj Village Hall","Fosdyke,Village Hall",ok,,Fosdyke,Village Hall,0,0,,,
2700LFVH1266,"Fosdyke, opp Village Hall","Fosdyke,Village Hall",ok,,Fosdyke,Village Hall,0,0,,,
270000009613,Fleet Road (adj),"Hargate,Fleet Road",ok,,Hargate,Fleet Road,0,0,,,
270000009612,Fleet Road (opp),"Hargate,Fleet Road",ok,,Hargate,Fleet Road,0,0,,,
270000009647,"Holbeach Cackle Hill, adj 188 Boston Road","Holbeach,Cackle Hill",ok,,Holbeach,Cackle Hill,0,0,,,
270000009648,"Holbeach Cackle Hill, opp 188 Boston Road","Holbeach,Cackle Hill",ok,,Holbeach,Cackle Hill,0,0,,,
270002700600,"Holbeach, adj Damgate","Holbeach,Damgate",ok,,Holbeach,Damgate,0,0,,,
270002700599,"Holbeach, opp Damgate","Holbeach,Damgate",ok,,Holbeach,Damgate,0,0,,,
270000009454,"Holbeach, adj Fairfields","Holbeach,Fairfields",ok,,Holbeach,Fairfields,0,0,,,
270000009453,"Holbeach, opp Fairfields","Holbeach,Fairfields",ok,,Holbeach,Fairfields,0,0,,,
270000009456,"Holbeach, adj Netherfield","Holbeach,Netherfield",ok,,Holbeach,Netherfield,0,0,,,
270000009455,"Holbeach, opp Netherfield","Holbeach,Netherfield",ok,,Holbeach,Netherfield,0,0,,,
270002700597,"Holbeach, adj Rowan Close","Holbeach,Rowan Close",ok,,Holbeach,Rowan Close,0,0,,,
270002700596,"Holbeach, opp Rowan Close","Holbeach,Rowan Close",ok,,Holbeach,Rowan Close,0,0,,,
270002701105,"Holbeach, adj Wignals Gate","Holbeach,Wignals Gate",ok,,Holbeach,Wignals Gate,0,0,,,
270002701104,"Holbeach, opp Wignals Gate","Holbeach,Wignals Gate",ok,,Holbeach,Wignals Gate,0,0,,,
